window_id,mae_naive,mae_xgb,cutoff_end_date
1999-05-24__2001-05-14,0.05149999999999999,0.02084081578254704,2001-05-14
2008-07-07__2010-06-28,0.025250000000000217,0.020744558334350516,2010-06-28
2023-05-22__2025-05-12,0.018999999999999906,0.020621701717376983,2025-05-12
1995-09-18__1997-09-08,0.031500000000000083,0.020595109224319508,1997-09-08
1995-07-24__1997-07-14,0.03225,0.02055837917327885,1997-07-14
2017-08-21__2019-08-12,0.0625,0.02049455213546747,2019-08-12
2019-12-09__2021-11-29,0.08675000000000022,0.02048467922210684,2021-11-29
2000-09-11__2002-09-02,0.017250000000000043,0.020114909887313903,2002-09-02
1995-03-06__1997-02-24,0.021250000000000047,0.019738883972167998,1997-02-24
2008-09-01__2010-08-23,0.016249999999999987,0.01963976860046379,2010-08-23
1994-05-02__1996-04-22,0.022750000000000048,0.01954014182090752,1996-04-22
2001-10-08__2003-09-29,0.03899999999999998,0.019091541767120412,2003-09-29
2017-10-16__2019-10-07,0.03200000000000003,0.018643162250518763,2019-10-07
1994-11-14__1996-11-04,0.018249999999999933,0.01861411809921254,1996-11-04
2000-03-27__2002-03-18,0.11149999999999988,0.01861237072944638,2002-03-18
1997-06-23__1999-06-14,0.02900000000000008,0.01858271408081058,1999-06-14
2011-12-19__2013-12-09,0.0442499999999999,0.0185804104804993,2013-12-09
1998-06-22__2000-06-12,0.035499999999999976,0.018263210535049534,2000-06-12
2013-06-03__2015-05-25,0.03324999999999978,0.018053998947143546,2015-05-25
1996-03-04__1998-02-23,0.029000000000000137,0.017649480104446502,1998-02-23
2001-04-23__2003-04-14,0.08174999999999999,0.017643368005752558,2003-04-14
2014-07-28__2016-07-18,0.0665,0.017248971939087032,2016-07-18
2002-01-28__2004-01-19,0.053249999999999964,0.016676842927932756,2004-01-19
2014-10-20__2016-10-10,0.046749999999999625,0.01662327718734724,2016-10-10
1995-05-29__1997-05-19,0.00874999999999998,0.0164883751869202,1997-05-19
1997-03-31__1999-03-22,0.11474999999999996,0.016248718738555934,1999-03-22
2016-02-08__2018-01-29,0.037250000000000005,0.016082493782043294,2018-01-29
1997-11-10__1999-11-01,0.03625000000000006,0.015765137434005705,1999-11-01
2014-03-10__2016-02-29,0.24424999999999997,0.015716101169585994,2016-02-29
2004-11-01__2006-10-23,0.02475000000000005,0.015426653385162581,2006-10-23
2018-11-12__2020-11-02,0.015249999999999986,0.014966937541961656,2020-11-02
2008-01-21__2010-01-11,0.09199999999999986,0.014729269981384352,2010-01-11
2010-07-05__2012-06-25,0.04200000000000004,0.01408517789840702,2012-06-25
2001-06-18__2003-06-09,0.010499999999999954,0.013899610757827807,2003-06-09
2023-07-17__2025-07-07,0.007750000000000035,0.013697255611419656,2025-07-07
1998-11-09__2000-10-30,0.03725000000000006,0.01339440035820011,2000-10-30
1996-02-05__1998-01-26,0.024250000000000105,0.013066220045089727,1998-01-26
2015-02-09__2017-01-30,0.019750000000000156,0.01272216033935547,2017-01-30
1995-08-21__1997-08-11,0.013999999999999957,0.012645320653915326,1997-08-11
2009-01-19__2011-01-10,0.03200000000000003,0.012550851345062286,2011-01-10
2023-09-11__2025-09-01,0.02849999999999986,0.012456069946289006,2025-09-01
1995-10-16__1997-10-06,0.026749999999999996,0.012115726709365837,1997-10-06
1994-09-19__1996-09-09,0.00374999999999992,0.012066391229629492,1996-09-09
1994-07-25__1996-07-15,0.019749999999999934,0.012009116888046234,1996-07-15
2000-08-14__2002-08-05,0.00275000000000003,0.0112598176002503,2002-08-05
1996-07-22__1998-07-13,0.01650000000000007,0.011214982986450184,1998-07-13
2018-07-23__2020-07-13,0.022249999999999992,0.011137004375457948,2020-07-13
2018-06-25__2020-06-15,0.08574999999999988,0.011114651679992482,2020-06-15
1997-08-18__1999-08-09,0.033499999999999974,0.010981939554214504,1999-08-09
2001-01-01__2002-12-23,0.05699999999999994,0.0107659342288971,2002-12-23
1996-01-08__1997-12-29,0.03574999999999989,0.009961238145828222,1997-12-29
