window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1996-08-19__1998-08-10,1996-08-19,1998-08-10,1998-08-17,1998-09-07,Naive (recursive),0.022250000000000048,0.023092206477511024,2.0990392576226347,0.022250000000000048
1996-08-19__1998-08-10,1996-08-19,1998-08-10,1998-08-17,1998-09-07,XGBoost (direct multi-horizon),0.050486535072326644,0.05077257423507121,4.697958141637157,0.050486535072326644
1996-09-16__1998-09-07,1996-09-16,1998-09-07,1998-09-14,1998-10-05,Naive (recursive),0.010999999999999899,0.011789826122551502,1.0453153512496052,-0.010999999999999899
1996-09-16__1998-09-07,1996-09-16,1998-09-07,1998-09-14,1998-10-05,XGBoost (direct multi-horizon),0.04585305976867682,0.04650420181318194,4.246054520942951,0.04585305976867682
1996-10-14__1998-10-05,1996-10-14,1998-10-05,1998-10-12,1998-11-02,Naive (recursive),0.006249999999999922,0.007399324293474299,0.5926316196175252,0.006249999999999922
1996-10-14__1998-10-05,1996-10-14,1998-10-05,1998-10-12,1998-11-02,XGBoost (direct multi-horizon),0.04728033280372618,0.04768073913943571,4.392885267028376,0.04728033280372618
1996-11-11__1998-11-02,1996-11-11,1998-11-02,1998-11-09,1998-11-30,Naive (recursive),0.030500000000000083,0.03431471987354705,2.959326796482759,0.030500000000000083
1996-11-11__1998-11-02,1996-11-11,1998-11-02,1998-11-09,1998-11-30,XGBoost (direct multi-horizon),0.07281671690940861,0.0758075750111654,6.905177128504633,0.07281671690940861
1996-12-09__1998-11-30,1996-12-09,1998-11-30,1998-12-07,1998-12-28,Naive (recursive),0.03274999999999992,0.03303407331831778,3.280461765877408,0.03274999999999992
1996-12-09__1998-11-30,1996-12-09,1998-11-30,1998-12-07,1998-12-28,XGBoost (direct multi-horizon),0.10526478791236879,0.10540180618051495,10.171124383745017,0.10526478791236879
1997-01-06__1998-12-28,1997-01-06,1998-12-28,1999-01-04,1999-01-25,Naive (recursive),0.004750000000000004,0.005315072906367329,0.4854940262650624,0.0002500000000000002
1997-01-06__1998-12-28,1997-01-06,1998-12-28,1999-01-04,1999-01-25,XGBoost (direct multi-horizon),0.07956933021545412,0.07965387770023626,7.811280697710729,0.07956933021545412
1997-02-03__1999-01-25,1997-02-03,1999-01-25,1999-02-01,1999-02-22,Naive (recursive),0.019000000000000017,0.02023610634484808,1.9664386873830382,0.019000000000000017
1997-02-03__1999-01-25,1997-02-03,1999-01-25,1999-02-01,1999-02-22,XGBoost (direct multi-horizon),0.05153760743141178,0.05232017029190124,5.230796942695687,0.05153760743141178
1997-03-03__1999-02-22,1997-03-03,1999-02-22,1999-03-01,1999-03-22,Naive (recursive),0.09025000000000002,0.10706656807799532,8.918427132190116,-0.09025000000000002
1997-03-03__1999-02-22,1997-03-03,1999-02-22,1999-03-01,1999-03-22,XGBoost (direct multi-horizon),0.05964822912216186,0.07332519674678747,5.753221931794343,-0.020991607189178446
1997-03-31__1999-03-22,1997-03-31,1999-03-22,1999-03-29,1999-04-19,Naive (recursive),0.11474999999999996,0.11502065031984471,10.304115183966717,-0.11474999999999996
1997-03-31__1999-03-22,1997-03-31,1999-03-22,1999-03-29,1999-04-19,XGBoost (direct multi-horizon),0.18601139676570894,0.18713087197327966,17.268333141832343,-0.18601139676570894
1997-04-28__1999-04-19,1997-04-28,1999-04-19,1999-04-26,1999-05-17,Naive (recursive),0.004999999999999949,0.0057445626465380244,0.4258073154173406,-0.0004999999999998894
